Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
293595,Chicka Chicka Boom Boom,Bill Martin Jr.,"Jr., Bill Martin","John Archambault, Lois Ehlert","=""068983568X""","=""9780689835681""",0,4.22,Beach Lane Books,Paperback,40,2000,1989,,2019/04/23,to-read,to-read (#987),to-read,,,,0,,,0,,,,,
297249,"The Boxcar Children (The Boxcar Children, #1)",Gertrude Chandler Warner,"Warner, Gertrude Chandler",L. Kate Deal,"=""0807508527""","=""9780807508527""",0,4.1,Albert Whitman  Company,Paperback,160,1989,1942,,2019/04/23,to-read,to-read (#986),to-read,,,,0,,,0,,,,,
249747,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,"Colfer, Eoin",,"=""0786817879""","=""9780786817870""",0,3.84,Disney-Hyperion,Paperback,396,2003,2001,,2019/04/23,to-read,to-read (#985),to-read,,,,0,,,0,,,,,
152380,"Mary Poppins (Mary Poppins, #1)",P.L. Travers,"Travers, P.L.",Mary   Shepard,"=""0152058109""","=""9780152058104""",0,4.03,HMH Books for Young Readers,Hardcover,209,2006,1934,,2019/04/23,to-read,to-read (#984),to-read,,,,0,,,0,,,,,
13023,Alice in Wonderland,Jane Carruth,"Carruth, Jane","Rene Cloke, Lewis Carroll","=""0517223627""","=""9780517223628""",0,4.03,Gramercy Books,Hardcover,92,2004,1865,,2019/04/23,to-read,to-read (#983),to-read,,,,0,,,0,,,,,
131123,"The Austere Academy (A Series of Unfortunate Events, #5)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0064408639""","=""9780064408639""",0,3.99,HarperCollins Publishers,Hardcover,221,2000,2000,,2019/04/23,to-read,to-read (#981),to-read,,,,0,,,0,,,,,
1934,Little Women,Louisa May Alcott,"Alcott, Louisa May",,"=""0451529308""","=""9780451529305""",0,4.06,Signet Classics,Paperback,449,2004,1868,,2019/04/23,to-read,to-read (#982),to-read,,,,0,,,0,,,,,
8073,Cloudy With a Chance of Meatballs,Judi Barrett,"Barrett, Judi",Ron Barrett,"=""0689707495""","=""9780689707490""",0,4.16,Atheneum Books for Young Readers,Paperback,32,1982,1978,,2019/04/23,to-read,to-read (#980),to-read,,,,0,,,0,,,,,
420297,Curious George,H.A. Rey,"Rey, H.A.",,"=""039515023X""","=""9780395150238""",0,4.14,Houghton Mifflin Co.,Paperback,48,1969,1941,,2019/04/23,to-read,to-read (#979),to-read,,,,0,,,0,,,,,
9673436,The Invention of Hugo Cabret,Brian Selznick,"Selznick, Brian",,"=""0439813786""","=""9780439813785""",0,4.24,Scholastic Press,Hardcover,525,2007,2007,,2019/04/23,to-read,to-read (#977),to-read,,,,0,,,0,,,,,
84981,Tuck Everlasting,Natalie Babbitt,"Babbitt, Natalie",,"=""0374480095""","=""9780374480097""",0,3.87,Farrar Straus Giroux,Paperback,139,1985,1975,,2019/04/23,to-read,to-read (#978),to-read,,,,0,,,0,,,,,
98573,Harold and the Purple Crayon,Crockett Johnson,"Johnson, Crockett",,"=""0747532036""","=""9780747532033""",0,4.25,Bloomsbury,Hardcover,64,1996,1955,,2019/04/23,to-read,to-read (#976),to-read,,,,0,,,0,,,,,
44186,The Monster at the End of this Book,Jon Stone,"Stone, Jon",Michael J. Smollin,"=""037582913X""","=""9780375829130""",0,4.44,Golden Books,Hardcover,32,2004,1971,,2019/04/23,to-read,to-read (#975),to-read,,,,0,,,0,,,,,
6324090,"Alice's Adventures in Wonderland (Alice's Adventures in Wonderland, #1)",Lewis Carroll,"Carroll, Lewis","Arthur Rackham, John Tenniel","=""""","=""""",0,4.01,Public Domain Books,Kindle Edition,96,1997,1865,,2019/04/23,to-read,to-read (#974),to-read,,,,0,,,0,,,,,
65119,"The Miserable Mill (A Series of Unfortunate Events, #4)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0439272637""","=""9780439272636""",0,3.85,"Scholastic, Inc.",Paperback,194,2000,2000,,2019/04/23,to-read,to-read (#973),to-read,,,,0,,,0,,,,,
24337,Ella Enchanted (Ella Enchanted #1),Gail Carson Levine,"Levine, Gail Carson",,"=""0590920685""","=""9780590920681""",0,3.98,Scholastic Books,Paperback,232,1998,1997,,2019/04/23,to-read,to-read (#972),to-read,,,,0,,,0,,,,,
138959,Stuart Little,E.B. White,"White, E.B.",Garth Williams,"=""0064400565""","=""9780064400565""",0,3.89,HarperCollins,Paperback,131,2006,1945,,2019/04/23,to-read,to-read (#971),to-read,,,,0,,,0,,,,,
125507,The True Story of the 3 Little Pigs,Jon Scieszka,"Scieszka, Jon",Lane Smith,"=""0140544518""","=""9780140544510""",0,4.3,Puffin Books,Paperback,32,1996,1989,,2019/04/23,to-read,to-read (#970),to-read,,,,0,,,0,,,,,
93,Heidi,Johanna Spyri,"Spyri, Johanna","Beverly Cleary, Angelo  Rinaldi","=""0753454947""","=""9780753454947""",0,3.98,Kingfisher,Paperback,352,2002,1880,,2019/04/23,to-read,to-read (#969),to-read,,,,0,,,0,,,,,
3685,Black Beauty,Anna Sewell,"Sewell, Anna",Ian Andrew,"=""0439228905""","=""9780439228909""",0,3.95,Scholastic Paperbacks,Paperback,245,2003,1877,,2019/04/23,to-read,to-read (#968),to-read,,,,0,,,0,,,,,
9822,"Mrs. Frisby and the Rats of NIMH (Rats of NIMH, #1)",Robert C. O'Brien,"O'Brien, Robert C.",,"=""0689862202""","=""9780689862205""",0,4.14,Aladdin Paperbacks,Paperback,240,2003,1971,,2019/04/23,to-read,to-read (#967),to-read,,,,0,,,0,,,,,
37190,The Tale of Despereaux,Kate DiCamillo,"DiCamillo, Kate",Timothy Basil Ering,"=""0763625299""","=""9780763625290""",0,4.03,Candlewick Press,Paperback,267,2008,2003,,2019/04/23,to-read,to-read (#966),to-read,,,,0,,,0,,,,,
11387515,Wonder,R.J. Palacio,"Palacio, R.J.",,"=""""","=""""",0,4.45,Alfred A. Knopf,Hardcover,315,2012,2012,,2019/04/23,to-read,to-read (#965),to-read,,,,0,,,0,,,,,
10365,Where the Red Fern Grows,Wilson Rawls,"Rawls, Wilson",,"=""0375806814""","=""9780375806810""",0,4.06,Yearling,Mass Market Paperback,272,2000,1961,,2019/04/23,to-read,to-read (#964),to-read,,,,0,,,0,,,,,
759611,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,"Jr., Bill Martin",Eric Carle,"=""0805047905""","=""9780805047905""",0,4.2,Henry Holt and Co.,Board Book,24,1996,1967,,2019/04/23,to-read,to-read (#963),to-read,,,,0,,,0,,,,,
47281,Number the Stars,Lois Lowry,"Lowry, Lois",,"=""0440227534""","=""9780440227533""",0,4.13,Dell Yearling,Paperback,137,1998,1989,,2019/04/23,to-read,to-read (#962),to-read,,,,0,,,0,,,,,
6687,"Charlie and the Great Glass Elevator (Charlie Bucket, #2)",Roald Dahl,"Dahl, Roald",Quentin Blake,"=""0142404128""","=""9780142404126""",0,3.66,Puffin Books,Paperback,159,2005,1972,,2019/04/23,to-read,to-read (#960),to-read,,,,0,,,0,,,,,
438492,"The Wide Window (A Series of Unfortunate Events, #3)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0064407683""","=""9780064407687""",0,3.93,HarperCollins Publishers,Hardcover,214,2000,2000,,2019/04/23,to-read,to-read (#961),to-read,,,,0,,,0,,,,,
3950967,The Tales of Beedle the Bard,J.K. Rowling,"Rowling, J.K.",,"=""0747599874""","=""9780747599876""",0,4.08,Bloomsbury,Hardcover,109,2008,2007,,2019/04/23,to-read,to-read (#959),to-read,,,,0,,,0,,,,,
5907,The Hobbit or There and Back Again,J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0618260307""","=""9780618260300""",0,4.26,Houghton Mifflin,Paperback,366,2002,1937,,2019/04/23,to-read,to-read (#957),to-read,,,,0,,,0,,,,,
420282,The Polar Express,Chris Van Allsburg,"Allsburg, Chris Van",Liam Neeson,"=""0395389496""","=""9780395389492""",0,4.3,Houghton Mifflin,Hardcover,32,2000,1985,,2019/04/23,to-read,to-read (#958),to-read,,,,0,,,0,,,,,
46677,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,"Viorst, Judith",Ray Cruz,"=""0689711735""","=""9780689711732""",0,4.22,Atheneum Books for Young Readers,Paperback,32,1987,1972,,2019/04/23,to-read,to-read (#956),to-read,,,,0,,,0,,,,,
6693,Fantastic Mr. Fox,Roald Dahl,"Dahl, Roald",Quentin Blake,"=""0375822070""","=""9780375822070""",0,4.05,Knopf Books for Young Readers,Hardcover,96,2002,1970,,2019/04/23,to-read,to-read (#955),to-read,,,,0,,,0,,,,,
7779,Horton Hears a Who!,Dr. Seuss,"Seuss, Dr.",,"=""0679800034""","=""9780679800033""",0,4.17,Random House Books for Young Readers,Paperback,64,1990,1954,,2019/04/23,to-read,to-read (#954),to-read,,,,0,,,0,,,,,
41044096,Island of the Blue Dolphins,Scott O'Dell,"O'Dell, Scott",,"=""""","=""""",0,3.82,HMH Books for Young Readers,Kindle Edition,194,2010,1960,,2019/04/23,to-read,to-read (#952),to-read,,,,0,,,0,,,,,
84369,"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis,"Lewis, C.S.",,"=""0007202326""","=""9780007202324""",0,4.03,HarperCollins Publishers,Paperback,288,2005,1956,,2019/04/23,to-read,to-read (#953),to-read,,,,0,,,0,,,,,
310259,Love You Forever,Robert Munsch,"Munsch, Robert",Sheila McGraw,"=""0920668372""","=""9780920668375""",0,4.35,Firefly Books,Paperback,32,1995,1986,,2019/04/23,to-read,to-read (#951),to-read,,,,0,,,0,,,,,
78418,"The Reptile Room (A Series of Unfortunate Events, #2)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0439206480""","=""9780439206488""",0,3.98,"Scholastic, Inc.",Paperback,192,1999,1999,,2019/04/23,to-read,to-read (#950),to-read,,,,0,,,0,,,,,
65641,"The Silver Chair (Chronicles of Narnia, #4)",C.S. Lewis,"Lewis, C.S.",Pauline Baynes,"=""""","=""""",0,3.96,HarperCollins,Paperback,243,2008,1953,,2019/04/23,to-read,to-read (#948),to-read,,,,0,,,0,,,,,
231850,Corduroy,Don Freeman,"Freeman, Don",,"=""0670241334""","=""9780670241330""",0,4.29,Viking Books for Young Readers,Hardcover,32,1968,1968,,2019/04/23,to-read,to-read (#949),to-read,,,,0,,,0,,,,,
